Applicant_ID,default_status
Apcnt_1000032,0.4725831881955811
Apcnt_1000048,0.5079607585551903
Apcnt_1000052,0.5804813982733525
Apcnt_1000076,0.8504064597225464
Apcnt_1000080,0.30032204669242923
Apcnt_1000084,0.5678351679076272
Apcnt_1000104,0.5756487366670556
Apcnt_1000116,0.7594288264020644
Apcnt_1000128,0.5133975409698116
Apcnt_1000156,0.4665576159121943
Apcnt_1000192,0.1837861118217949
Apcnt_1000208,0.05283376783310122
Apcnt_1000264,0.7646713731850396
Apcnt_1000288,0.0705143942148025
Apcnt_1000292,0.6710926911451383
Apcnt_1000328,0.8182616043211904
Apcnt_1000336,0.5496122768560845
Apcnt_1000356,0.1279992152447201
Apcnt_1000368,0.24207248613650748
Apcnt_1000372,0.8724951744004474
Apcnt_1000392,0.1316665767417325
Apcnt_1000396,0.1549017138095874
Apcnt_1000400,0.1047510404585613
Apcnt_1000416,0.4305057528110565
Apcnt_1000428,0.042393033260088905
Apcnt_1000440,0.07521702593226767
Apcnt_1000456,0.7077113910667958
Apcnt_1000472,0.11007809994213241
Apcnt_1000488,0.24338696445487623
Apcnt_1000492,0.14169296430306044
Apcnt_1000504,0.8491383818077
Apcnt_1000516,0.453180723897051
Apcnt_1000532,0.13704104685637664
Apcnt_1000552,0.4382293888661458
Apcnt_1000564,0.5703086670720237
Apcnt_1000576,0.8741796723879519
Apcnt_1000596,0.1567159097011446
Apcnt_1000620,0.19581112021627464
Apcnt_1000624,0.04238934769591664
Apcnt_1000636,0.0056150510259197995
Apcnt_1000648,0.06229888718947465
Apcnt_1000668,0.06355737391105934
Apcnt_1000680,0.1937621044327175
Apcnt_1000696,0.09937674369384938
Apcnt_1000704,0.6636144920769762
Apcnt_1000724,0.09041430329992703
Apcnt_1000740,0.4507698940141352
Apcnt_1000744,0.02116355750541802
Apcnt_1000756,0.08159361024213943
Apcnt_1000768,0.01578842210069124
Apcnt_1000784,0.00043312580766867404
Apcnt_1000796,0.0035551806605151537
Apcnt_1000808,-0.0005113124885813905
Apcnt_1000816,0.051949150507195306
Apcnt_1000820,0.0048209028443080065
Apcnt_1000824,0.1675784554039608
Apcnt_1000856,0.7194750826031886
Apcnt_1000872,0.8003632333939054
Apcnt_1000880,0.1569849235157757
Apcnt_1000904,0.3997012269386681
Apcnt_1000912,0.8394926930030029
Apcnt_1000920,0.8739523101240625
Apcnt_1000952,0.12760639359724923
Apcnt_1000960,0.1613804691287655
Apcnt_1000964,0.367631418967527
Apcnt_1000968,0.023223544972919
Apcnt_1000976,0.8224270162012222
Apcnt_1000984,0.6858842561436618
Apcnt_1000992,0.37398467733461066
Apcnt_1000996,0.7000895201720774
Apcnt_1001000,0.2852819320517791
Apcnt_1001008,0.16514382038283817
Apcnt_1001028,0.04992967665225875
Apcnt_1001032,0.6910322807017956
Apcnt_1001036,0.8664811344995152
